product_number,category_name,deparment_name,manufacturer_name,upc,sku,regular_price,sale_price,description
910-001675,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855066237,1297054,17.99,17.99,"Laser tracking Plug-and-Forget nano receiver Logitech advanced 2.4GHz wireless connectivity USB connectivity"
910-001935,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855068538,1325119,29.99,29.99,"Laser technology Unifying receiver Wireless USB interface"
GMF-00030,"Wireless & Bluetooth Mice",COMPUTERS,Microsoft,885370202175,1805526,19.99,18.99,"BlueTrack Technology on/off switch Battery status indicator Ambidextrous design Plug-and-go nano receiver"
910-002136,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855072801,2577677,17.99,17.99,"Advanced optical tracking Smooth scroll wheel with tilt navigation Contoured shape Textured rubber grips Smart sleep mode USB interface"
97471,"Wireless & Bluetooth Mice",COMPUTERS,Verbatim,23942974710,2969104,20.99,14.99,"Optical technology; 2.4GHz wireless technology"
910-002533,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855077097,3435677,24.99,24.99,"Laser technology; side-to-side scrolling; zoom; 3 standard buttons; programmable back/forward buttons; wireless technology; USB connectivity"
97470,"Wireless & Bluetooth Mice",COMPUTERS,Verbatim,23942974703,3921715,25.8,14.99,"Optical technology; 2.4GHz wireless technology"
97540,"Wireless & Bluetooth Mice",COMPUTERS,Verbatim,23942975403,3921742,25.8,14.99,"Optical technology; 2.4GHz wireless technology"
910-002486,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855076540,3925939,17.99,17.99,"Laser - Wireless - Radio Frequency - Flame Red - USB - 1000 dpi - Computer - Scroll Wheel - 3 Button(s) - Symmetrical"
910-002332,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855073891,3937934,17.99,17.99,"Advanced optical tracking Micro-precise scrolling tilt wheel Contoured design Textured rubber grips 2.4GHz wireless technology Small Logitech Unifying receiver"
910-002650,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855080592,3937943,17.99,17.99,"Advanced optical tracking; microprecise scrolling; 3 buttons; USB interface"
910-002651,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855080608,3937952,17.99,17.99,"Advanced optical tracking Microprecise scrolling 3 buttons USB interface"
910-004432,"Wireless & Bluetooth Mice",COMPUTERS,Logitech,97855113726,4375300,29.99,29.99,"Optical technology; navigation button; tilt wheel; Bluetooth connectivity"
